Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Attala County, MS",Mississippi,33.122,-89.465,394,260,7.1,7.1,7.4,7.8,7.9,8.2,7.7,7.6,8.9,13.4,12.6,11.2,9.8,9.4,8.7,7.6,6.7,6.1,5.8
"Audrain County, MO",Missouri,39.2747,-91.5763,316,426,3.2,4.3,5.5,6.1,5.8,5.2,4.4,4.9,6.2,9.3,9.6,8.2,6.5,6.3,5.6,4.6,4.3,3.6,3.3
"Audubon County, IA",Iowa,41.592,-94.8811,782,296,2.9,3.2,3.8,4,4.1,4.6,4,3.9,4.5,5.8,5.6,5.7,4.8,4.9,4.3,4,3.3,3.1,2.6
"Auglaize County, OH",Ohio,40.5558,-84.0796,173,173,3.5,4.3,5.9,5.3,5.3,4.6,4.2,4.4,5.5,10.6,10,8.1,6.2,5.9,4.3,3.7,3.7,3.7,3.3
"Augusta County, VA",Virginia,38.1618,-78.8413,1640,208,1.9,2.8,3.5,3.4,3.1,3.1,2.6,2.6,3.6,6.4,7.1,6.3,5.8,5.2,4.7,4.1,3.7,3.4,2.7
"Aurora County, SD",South Dakota,43.5272,-98.5894,65,581,2.2,2.7,3.6,3.7,3.8,4.1,3.4,2.9,3.1,4.4,3.5,3.2,3,2.7,2.6,2.2,2.2,2.9,3.1
"Austin County, TX",Texas,29.7965,-96.1051,821,37,3.9,3.9,5.3,6.2,5.3,4.5,4.3,3.7,4.2,7.3,8,7.9,6.4,5.9,4.8,4.6,5.3,4.3,3.6
"Autauga County, AL",Alabama,32.6793,-86.4607,1926,32,4,4.1,4.8,5,4.8,3.8,3.3,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.8,5.2,5.1,3.9,3.6
"Avery County, NC",North Carolina,36.0987,-81.8482,24,5,4,5.4,6.6,5.8,5,5.4,4.9,4.7,5.7,9.3,10.8,11.1,10.7,8.9,6.5,6,5,4.4,3.7
"Baca County, CO",Colorado,37.3861,-102.2801,514,443,3,3.1,3.3,3.7,3.6,3.8,3.1,2.5,3.4,3.7,4.9,4.8,4.5,4.1,2.8,2,1.7,1.7,1.8
"Bacon County, GA",Georgia,31.5441,-82.4145,302,99,4.6,5.4,6.3,5.4,5.3,5.3,4.6,4.8,6.3,9.4,10.6,10.5,9.7,8.4,7,5.7,5.2,4.5,3.8
"Bailey County, TX",Texas,34.2292,-102.7284,5030,571,4.5,4.7,5.4,5.7,5.5,5.4,4.9,4.3,4.1,5.6,7.9,7.5,6.9,7.1,5,4.3,4.4,4.3,4.4
"Baker County, FL",Florida,30.2752,-82.1603,453,382,3,4.2,4.8,4.8,4.1,3.3,2.9,3.7,5.8,10.1,11.3,10.2,8.6,7.4,6.4,5.6,4.9,4.1,3.3
"Baker County, GA",Georgia,31.3172,-84.3376,600,79,4.3,4.9,5,4.8,4.4,5.3,5.1,5,6.4,9.2,12.1,11.6,11,10.5,9,7.3,7.7,6.3,5
"Baker County, OR",Oregon,44.9123,-117.9396,415,212,7.1,8.5,9.1,9.5,8.9,7.4,6.4,5.8,7.1,10.4,10.3,10.9,10.5,9.6,8.4,6.8,6.3,5.5,5.3
"Baldwin County, AL",Alabama,30.2758,-87.7014,11809,162,3.7,4.3,5,5,5.2,4,3.2,3.1,4.6,9.8,10,9,7.5,6.6,6.1,5.5,5.4,4,3.6
"Baldwin County, GA",Georgia,33.0523,-83.244,3239,257,4.9,4.5,4.9,4.7,4.8,5.5,5.4,5.6,7.9,12.4,15.4,13.8,11.6,10.1,8.7,7.7,6.8,6,5
"Ballard County, KY",Kentucky,37.0513,-89.0446,653,457,5.9,6.6,7.1,7.8,6.9,6.8,6.1,5.5,6.2,9.9,10.3,10,9.1,9.2,8,6.9,8.9,7.6,6.7
"Baltimore County, MD",Maryland,39.424,-76.6177,6851,1251,3.7,4.1,4.6,4.7,4.4,4.3,3.9,3.5,4.4,7.4,8.3,7.7,7.4,6.9,6.1,5.3,4.7,4.3,4.2
"Bamberg County, SC",South Carolina,33.0985,-81.0138,498,61,5.2,6.6,6.7,7.9,7.3,8.6,9.9,9.1,11.2,15.7,16.1,16.2,15.9,13.5,11.6,10.5,9,7.4,6.6
"Bandera County, TX",Texas,29.6383,-98.9869,1357,169,3.6,4,5.1,5.4,5.1,4.5,4.2,3.8,4.3,6.5,7.8,7.5,6.6,6,4.8,4,4.1,3.6,3.5
"Banks County, GA",Georgia,34.3095,-83.6381,243,84,3.1,3.6,4.2,3.9,3.6,3.9,3.2,3,4.5,7.6,9.7,9.2,8.2,7.9,6.6,5.6,4.8,4,3.1
"Banner County, NE",Nebraska,41.5505,-103.7267,68,4,2.9,2.3,2.6,2.6,3.5,2.9,2.3,2,2.4,3.3,4.2,4.7,4.5,4.5,3.7,3.5,3.5,3.7,3.6
"Bannock County, ID",Idaho,42.6504,-112.1901,821,142,4.7,5,5.9,5.3,4.7,3.9,3.4,3,4.7,7.8,8,7.5,6.9,5.9,4.6,4.1,3.5,3,2.6
"Baraga County, MI",Michigan,46.7766,-88.4965,1980,359,6.7,9.2,9.8,10,11.4,11.3,11.5,12.8,13.4,24.2,19.3,16.4,14,14.4,11.2,9.1,8.2,8,6.6
"Barber County, KS",Kansas,37.0144,-98.6492,162,227,2.7,3.3,3.5,3.6,3.9,3.6,3.2,3.2,3.3,4.4,4.5,4,3.9,4,3.1,4.2,3.7,2.9,2.6
"Barbour County, AL",Alabama,31.781,-85.5583,468,65,5.5,7.4,7.7,7.1,7.2,5.8,5.7,6.3,8.8,14.3,12.4,11.5,11.5,10.2,10.5,8.9,8.3,5.9,5.3
"Barbour County, WV",West Virginia,39.1487,-80.0417,3076,461,7.9,6.5,7.2,7.2,6.4,6.2,5.7,5.4,4.9,8.7,10,9.4,8.3,7.1,6.8,7.4,6.8,5.8,5.9
"Barnes County, ND",North Dakota,46.9428,-98.2238,180,115,3.2,2.9,3.4,3.5,3.3,3.4,3.6,3.1,3,4.3,4.5,3.9,3.4,3.2,3.1,3.2,3.2,2.7,2.8
"Barnstable County, MA",Massachusetts,41.6012,-70.6364,1867,233,3.5,4,4.8,5.2,5,5,5.2,5,6.1,8.5,10,9.2,8.6,8.5,7.2,6.2,5,4.7,4.4
"Barnwell County, SC",South Carolina,33.2419,-81.3659,3681,218,5.1,7,7.8,9.7,9.5,9,10,9.3,10.9,17.1,16.6,15.2,13.9,12.1,9.7,9,7.4,6,5.2
"Barren County, KY",Kentucky,37.0047,-85.9263,13891,349,4.6,5,4.7,5.2,4.5,5.4,5.6,5.2,6.1,12.3,11.2,9.8,7.9,7.7,6.3,5.2,4.7,4.6,4.3
"Barron County, WI",Wisconsin,45.5353,-92.0269,2119,224,4.1,4.9,5.4,6.1,5.6,5.2,5.6,5.9,5.8,9,9.3,8.5,7.9,7.5,5.8,5,4.5,3.5,3.3
"Barrow County, GA",Georgia,33.9917,-83.7218,43583,459,3,3.9,4.9,4.7,4.5,4.8,4.2,4.2,6.3,10.6,10.8,10,8.6,7.4,6.3,5.3,4.7,4.1,3.2
"Barry County, MI",Michigan,42.4951,-85.4117,913,159,3.4,4.6,5.5,6,5.7,5.1,5.4,5.5,6.4,10.4,10.4,8.2,6.9,6.4,5.4,4.3,4,4,3.6
"Barry County, MO",Missouri,36.6707,-93.9399,771,376,3.5,4.4,4.8,5,5.2,5,4.1,4.9,5.5,8.2,9.7,9,7.1,6.8,6.1,5,4.5,3.4,3.2
"Bartholomew County, IN",Indiana,39.2094,-85.9183,58771,649,2.7,4.1,4.8,4.8,4.4,4.9,4.2,3.6,4.6,9.6,9.5,7.6,6.4,6,4.4,3.6,3.4,2.7,2.6
